id;nome;id_global;situacao
1;Data Congelado;Sabonete Checking;TROCADO
2;PNG;iterate Alameda;DISPONIVEL
3;caramelo Ceará;Internal Aço input;DISPONIVEL
4;Borders Pará;Avon Developer Marginal;TROCADO
5;Alameda;Programmable CSS intangible;DISPONIVEL
6;invoice neural-net Markets;1080p Avon;DISPONIVEL
7;synthesizing neural;synthesize Applications Program;TROCADO
8;initiatives schemas;harness relationships;DISPONIVEL
9;Alameda auxiliary Honduras;web-enabled;DISPONIVEL
10;Inverse;benchmark Berkshire;DISPONIVEL
