id;data_inicio;data_fim;resultado
1;2023-01-09T11:44:56;2023-01-09T11:05:34;../fake-data/blob/hipster.txt
2;2023-01-10T01:00:48;2023-01-09T16:02:59;../fake-data/blob/hipster.txt
3;2023-01-09T23:29:11;2023-01-10T01:12:47;../fake-data/blob/hipster.txt
4;2023-01-09T23:16:26;2023-01-09T12:41:11;../fake-data/blob/hipster.txt
5;2023-01-10T03:18:41;2023-01-10T03:02:08;../fake-data/blob/hipster.txt
6;2023-01-09T19:21:02;2023-01-10T05:02:05;../fake-data/blob/hipster.txt
7;2023-01-10T03:26:22;2023-01-10T02:10:54;../fake-data/blob/hipster.txt
8;2023-01-09T14:23:49;2023-01-09T12:52:24;../fake-data/blob/hipster.txt
9;2023-01-10T04:46:43;2023-01-10T02:03:30;../fake-data/blob/hipster.txt
10;2023-01-09T20:55:08;2023-01-09T17:16:02;../fake-data/blob/hipster.txt
